(Do Not Modify) SPEX attendees,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,first_name,surname,company,Status Reason,whole tables booked
8db05459-36c9-f011-8543-7ced8d3aa914,cAV6HZLOMmTfTJjpQV1BvMajV+hrfhx8+iczpAqdjTAv88rPTvHFGBL6oTG0xeyvFrBrwaRHJNLcRrGx8qm44A==,24/11/2025 13:06,Danielle,Walker,Stonehaven Industries,Active,0
42c9b184-d8c6-f011-bbd2-7c1e5203c76f,tS2aqva2cB8SFbI6cUlWuaj+kZK0ZG3T+ch57NPh50lPQhFVsOgNaxlnPDOQFjjXQF3TCONgnw0809pXeinPIg==,21/11/2025 12:49,Dave,Manser,Brightwave Marketing,Active,0
fa0bc6fe-d5c6-f011-bbd2-7c1e5203c76f,ulRUprzfbIwS48lmJzVxalk+Pv+mfm9YwpxjsaQQ3WeswoCkdJF5v19yfEF5jLrq6HKBWySQJv+aXVDr+X5Tbw==,21/11/2025 12:31,Dominic,Bristow,Greenford Engineering,Active,0
00d2a95c-d7c6-f011-bbd2-7c1e5203c76f,CkFb1pQoBdcFwdDQdjZacuBhUTBBFu4BJJEc/vGYaaLozL+WX+GMGUnFHp8bz5CgVURfiyrxgSM8p6O19pRqgw==,21/11/2025 12:41,Emily,Berry,Vertex Business Solutions,Active,0
ce568cb7-cac6-f011-bbd2-7ced8d9956d1,Ay9xvCfZ0YxiFLi9z8D4c+vYc3K5c0FQqGit2y1YFbY0/K0b1NjDiW2u3L8zCtdRG/tRoxjOM4/fweRv48Fo/w==,21/11/2025 11:10,Emma,Temperley,Crestview Holdings,Active,0
3ca271fd-d7c6-f011-bbd2-7c1e5203c76f,mR/CKbd96Ja8qhp/6YnJ3eUwsc17uAO/AWUCxmKWXVRSvrYOV6LYFUf9us2w8abtfJvXLxS9eN/ZIRiNmJV/Ww==,21/11/2025 12:45,,,Maple & Finch Creative,Active,0
c1461994-c7c6-f011-bbd2-7ced8d9956d1,nk7w27oumV3eJJqHZorz5wuEfXBm6CWlSlEL5wQkiNyEF0Ht+KkGI3UKwUtfkFZXyKm8um7eZG6L1zwCvzwc0A==,21/11/2025 10:48,Evie,Keough,Beacon Financial Services,Active,0
90aacacb-c7c6-f011-bbd2-7ced8d9956d1,No/783Q7sDOXSadp8LflZefA4ZB1XiLeRDsfrJENEidv9iq+YULKoOw06qxUo/4c+SmI5kd73ay9Fq7KtnydqA==,21/11/2025 10:49,Gerald,Vaughan,Elmwood Property Group,Active,0
7e4a9bd8-d7c6-f011-bbd2-7c1e5203c76f,0zzFr56PGJ68nEL2EfJw3wuaAIC0LqbCx+PpMzRTgt0K0KuUsjnBh6v0omFc9johVpxuPK3ZI9mXnuD3qk0KYQ==,21/11/2025 12:44,Graham,Whistance,Ironclad Security Ltd,Active,0
e70bc6fe-d5c6-f011-bbd2-7c1e5203c76f,777HgPmeEynGRIxYe3MlYXsP7kozx7rtEf5t/boEzyO2n5iSHin+A5jLXIuuVZ1ZQrkQEnnDr7OsDaQEQM4usg==,21/11/2025 12:31,Hannah,Gillot,Greenford Engineering,Active,0
1b927b42-ccc6-f011-bbd2-0022483fad4e,ZCNbTTqXLhifMzsTd+IKVqgdW1PGFtbZL/8Xb37LLqDo4mbto1ssaY/A/LCNdXIL2I9E7UIcJgSDPTKsIP61NQ==,21/11/2025 11:21,Henrik,Appert,Everfield Technologies,Active,0
949d2c10-c9c6-f011-bbd2-7ced8d9956d1,4z2V9Cx3PdSJyVeXf3+87Dze+uhqjKrIiYFOlr2N9zPVtEfPB064M7F+pZ5S9iYaxdkoYICa0VQ1VuYrPBDU8w==,21/11/2025 10:59,ian,Barth,Nimbus Software Solutions,Active,0
442507a9-d8c6-f011-bbd2-7c1e5203c76f,gmB5anUKvqgDaHmgvXe73UG6Ycea4XOZP4kh3Pd1qdoi8OpozcjPoazcGDRkdkd8fsHqPjufv+7k8jDhw3wAOQ==,21/11/2025 12:50,Igli,Kopani,Harbourlight Energy,Active,0
baac2f3c-ccc6-f011-bbd2-0022483fad4e,K1i02vObNbUsE4vJPxQx+aPmz0u7o6qJzpKNbZ4BBc084WvRmm9kPfTYnBEIMyOm12/hJ6klbuKCeFKK2TAlFw==,21/11/2025 11:21,Jack,Finnerty,Everfield Technologies,Active,0
d3a2b536-dac6-f011-bbd2-7c1e5203c76f,T7i/N1qMFmHjfgCrqXNyxYNJ5HgJytYKXGma+W3tUeaQiEpqnFyy6WnkWygs5s9qySI4bQGxotzBR88c0OA5/w==,21/11/2025 13:01,Jack,Bremner,Falcon Ridge Consulting,Active,0
94dc3487-d7c6-f011-bbd2-7c1e5203c76f,aQhyz1P9sn6ziZkCQ5fpp+X5TxHv0vyLQoyI9MqlosZ9zdDM91cQWpda7PtqLnWlDc3Th2kMVcZPFh636tCWWQ==,21/11/2025 12:42,Jake,Slaney,Bridgewater Ventures,Active,0
30ca8726-d9c6-f011-bbd2-7c1e5203c76f,GnBzFH8FEVRuswLFtyx0C74G2vjyWNUGqpWjc3aiFX4cnMPb67uWRprtKIhEh7fuTf/gx1Uw68NXueqUBwwC3g==,21/11/2025 12:54,,,Clearpath Consulting,Active,0
e85881c5-c7c6-f011-bbd2-7ced8d9956d1,Q6rVUeIAmW1e+LpFQGVmeD74JJyX7GR04DyFjwUwmgWeZKW4k4DHTnKzDjWr/r/IxfbtSBF0Fq9E7bCF2ZxNlA==,21/11/2025 10:49,Jason,Pattinson,Elmwood Property Group,Active,0
ea6c15ce-d5c6-f011-bbd2-7c1e5203c76f,m3Dv6Rkd593KcaCH4wV+7kINXOTvdfjDfK0EBOct9wYoV+eJb26jQWqNxaCXZvmX72rFTfgmjAWG+UwPUcgjHA==,21/11/2025 12:30,Jean,Boyle,Kingswell Manufacturing,Active,0
af9b249a-c7c6-f011-bbd2-7ced8d9956d1,H6GIlfXCcr6J5GkOswr7vhTBk5gCQZUENlMUjktDdPwawK6DfjeteRrbhbCn9DB89eKBvtjpazUetvQTRAZUXg==,21/11/2025 10:48,,,Beacon Financial Services,Active,0
24e42d9b-c8c6-f011-bbd2-7ced8d9956d1,oAo1iIM4DlMyQnX6i0RzENH3xY4jPJFTw8RFrjDCBM0595Hc5ivo3dl/WqB9U+wq7HCYkELwl5LYaGs6m/g2BQ==,21/11/2025 10:55,Jim,Eagers,Aurora Health Partners,Active,0
cb9959cd-c8c6-f011-bbd2-7ced8d9956d1,vBIcHnCgcP70bqmhmnhnvw+AuQTMr0HCtf7SESotnNWF83i9QD7xZ9RjrsyktSCOAxyVFaqEkQ+G3VxZZ1oAbw==,21/11/2025 10:57,Jimmy,Thorpe,Summit Digital Partners,Active,0
d42640b0-ccc6-f011-bbd2-0022483fad4e,1GUn3JPb2Fc78SrJ/bNY6n3e/Gb/2Q2M9j3q/+6qR1eEtVhjtN/6ngL0nQx3Pl8QiUcm9mn+QueA20RYZnjg/A==,21/11/2025 11:24,Joel,McNeil,Riverside Retail Group,Active,0
d82888b1-cac6-f011-bbd2-7ced8d9956d1,2xyBXV+kjs1Ba/Td922BPtvth4HRcwel7TfQ0Wc9QkTCeURPmNXJq3OW4BxG3i4V4fE0mvIusX3+Ramw7pBmtQ==,21/11/2025 11:10,June,Greens,Crestview Holdings,Active,0
89098513-cac6-f011-bbd2-7ced8d9956d1,RMgai389/jLftV6y+xu3cmr9TQUiCpAqZTW3D9zJGkUpUGzeZoUhr3v6DyGG8HCfgZ7yXabqYQ46KQ4hX20UVw==,21/11/2025 11:06,June,Stevenson,Forward Edge Technologies,Active,0
fdda800d-cac6-f011-bbd2-7ced8d9956d1,1eIO1r2e5cnQ0YTmOArLjJ+7S4kv5psZn0a15CBgjQIKPVrvyn/t4KBAzLnOfjPHVXatD0jlfPBFJt5wqM133g==,21/11/2025 11:06,Karen,Wespieser,Forward Edge Technologies,Active,0
038cb156-d7c6-f011-bbd2-7c1e5203c76f,FCjmiTKYsIjK6UkkJmzuYPm6nrBaLaGhqDjkWbKNMH6kK5ApSAxciB7cn84d3Rfnkhmx/BCbvmkFzl816TgSVw==,21/11/2025 12:41,,,Vertex Business Solutions,Active,0
6b6768ad-36c9-f011-8543-7ced8d3aa914,sHzGTep0ScUhXHHK6ZRUBMTmib42a1j67Gt+kFTfGEUGX4XCaQFwADpLygdughh5gWdIMMdP3igIrMXKyQq8gw==,24/11/2025 13:08,Kristen,Sanders,Northgate Solutions Ltd,Active,0
02a78bad-d4c6-f011-bbd2-7c1e5203c76f,0WAeLJP5KC5nZYVTmizGR0wEEJ6mRcimYQSnZh2QaAfWa9FcvH68dSKn63BHGTJIRqWEJixUPzyQ1Xsbp5yDFQ==,21/11/2025 12:22,,,Blue Peak Consulting,Active,0
2f70af8c-ccc6-f011-bbd2-0022483fad4e,/QrWaSWRuRq2w1+igslg10aWgzjtJR2D19DU4dfcnjjg5luiRsyVMNJT9oKAC/qO+klRUrUe9INtX0Zzinfi+w==,21/11/2025 11:23,Lisa,Shannon,Parklane Associates,Active,0
46938df9-d6c6-f011-bbd2-7c1e5203c76f,8XefDoeq3W2C3w5J7nLla2e9PQ+VKu7GBbZWFD4tb87jhu0/7eKzDo17aJjPMk6ntnOYSiGIrY5o3VcsIFVxRw==,21/11/2025 12:38,Liz,Murray,Silverline Media Group,Active,0
26b9d9d2-ccc6-f011-bbd2-0022483fad4e,zNiihAbqFHRAJ6subM2QwFKI1NkQlc0EeEd0Hs91osw/dzKg8yGrYAVj33OlvsIzI0obSMTm+djp0u9oTLRwlA==,21/11/2025 11:25,Lizzie,Hacking,Thornfield Construction,Active,0
0f8609a3-d8c6-f011-bbd2-7c1e5203c76f,EErrgh2OFP/y044Sf/9yIEpNX+2IhmP6eMg/dJq1RMsdtPpfWy4l7luFt+uHM9aFpFvAcI8ktA2j8zLbq0MilA==,21/11/2025 12:50,Marcus,Reoch,Harbourlight Energy,Active,0
f278c6ff-d6c6-f011-bbd2-7c1e5203c76f,CCpTv9gQiuLteWXs1ekzLUPSRX884KzbnPtTg2iMZEP0+EyPRC1/0elTjUjFu8HZHvB7hVcdBSuScWklf7JMnw==,21/11/2025 12:38,Martha,Walsh,Silverline Media Group,Active,0
9d367803-d8c6-f011-bbd2-7c1e5203c76f,wfeBwZXCRahTGi+0moAOTR/xbmzDJwMTEBoUuRObtcZ9L4jlTIbg12nY9V8TtSDmY6RvdLYB2GJykSLeH27pRA==,21/11/2025 12:45,Matthew,Burt,Maple & Finch Creative,Active,0
2a7b2e95-c8c6-f011-bbd2-7ced8d9956d1,S6Y5L2j0bekHpEDtdlPUQ0v7y98UhzCKyQ0AtdZKR4d5qgbuXDh2IlFvLVfABhK2JJ/rKLfkE67USs6xWGOAog==,21/11/2025 10:55,,,Aurora Health Partners,Active,0
3f2d0f78-cac6-f011-bbd2-7ced8d9956d1,gX+khitBuOyFg8u6ImKb3Do9JAMcyfQH2P1lfDRSnqf4+ikLsttmdMv3UuPyGVT/jSUrFFDYWtVV5FdD8+tGlA==,21/11/2025 11:09,Melanie,Hurley,Pioneer Logistics Ltd,Active,0
655a1418-cbc6-f011-bbd2-7ced8d9956d1,/3rajWC2vhKOTeaBUlhzzSDLHTOFpez//CNAwgts6hDiIA9khFY3q1Px9Pe9dLtndLO17mVZmmU0FHXUOa4//g==,21/11/2025 11:13,,,Futurecore Systems,Active,0
eaa2b536-dac6-f011-bbd2-7c1e5203c76f,3UQlTB+6DL96W4TxEbcne+Qzim9tFmcTdxTF13nzN3GkrXf2KKQMfMRsXYNLoLeYCIPhMArQ65lKBk0iGlzDww==,21/11/2025 13:01,Mike,Brennan,Falcon Ridge Consulting,Active,0
062d0f78-cac6-f011-bbd2-7ced8d9956d1,mkaUxy8bt1bv4J9cDA3E/HQGKQ8S4M8ES2jOqocgS5h6xzlvvmDnW5av0SCrKxauk22uG4cblehbTqC0T/gdeA==,21/11/2025 11:08,,,Pioneer Logistics Ltd,Active,0
cdf63386-ccc6-f011-bbd2-0022483fad4e,OeUfvv+as/AZlyEqhIC53J9D+aT2gWtej8ndUIVsXvV/YWqsItrbufY/eZHxpRe60bEhLZi2e74YW9DS8+Fs6A==,21/11/2025 11:23,Nichola,Giles,Parklane Associates,Active,0
9bc11f49-ccc6-f011-bbd2-0022483fad4e,MtztD2T7blqeG5wR5iwafz8xR2a5aDWAq9zRgxOjHSG79+30mAqbavdaLj32B1Xmjb3FRvWuFUtESe5ogDszbg==,21/11/2025 11:22,Oliver,Reynolds,Everfield Technologies,Active,0
a67b4116-c9c6-f011-bbd2-7ced8d9956d1,+QII8SaWN6IuQe4pJhMobwyR3zyc3srCp9rQkbJhJB5CX2yDzyM7Njsf/n4IJPe0e2H+/ouQQRYloQ6yiF+sjQ==,21/11/2025 10:59,Olivia,Barth,Nimbus Software Solutions,Active,0
d78c92f3-d6c6-f011-bbd2-7c1e5203c76f,hvQd0HLR2jCNNIrsTGojxuMnlxKGO+jrC7fRbq+bFnYra4UJ4F+f6anOn29X1pYjNFIb9fEDQgrIfZorStsQpw==,21/11/2025 12:38,Penny,Swain,Silverline Media Group,Active,0
4d789848-d8c6-f011-bbd2-7c1e5203c76f,IGDdEPcVwnauv9fDtOPLlaXsuoRa8l9Moti+koyWGmQ1fVt6RqXBTxUfYwnY8sEHC/Y2/A68I4qH1L6K4P4d1Q==,21/11/2025 12:47,Pheobe,Vane,Cedar Grove Developments,Active,0
3352f02f-dac6-f011-bbd2-7c1e5203c76f,3UiARXZMw9zJrLSB6zWwqi1b74IQGv6y+OWjYwrWyxiiCyNb3fzslv7y8oTXoxjopxHZJuZRmxbBID1GIOWM0w==,21/11/2025 13:01,Philip,Rolt,Falcon Ridge Consulting,Active,0
b60a6031-d7c6-f011-bbd2-7c1e5203c76f,9avIwcZO0n7iKpNGJ6PWMh7galI6NLSABvDzP8bqY3Z7x91WV/58KUjy/wx6OCvM4lB/oceSU+ZoOunzTGM+4w==,21/11/2025 12:40,Phillip,Allum,Sterling Operations Ltd,Active,0
9b58e2e7-d8c6-f011-bbd2-7c1e5203c76f,czhXWf5vu/3qkRYzDVQu+0BRwNN4Hr2jCxFWZ0ygMWcZgmgfcLSXpyFzBsG8U31Wwb6hnq0xdyEdaXyO0ldOUg==,21/11/2025 12:52,Rebecca,Ivory,Redwood Analytics,Active,0
4c439da7-ccc6-f011-bbd2-0022483fad4e,fEf8hhiMp+98ZNBELMaFOYXS3onVCKladE39Jehgrsse4doKY6pAebxnpHnXToB7QFhMmycy5jyFDp1BEwVl5Q==,21/11/2025 11:24,Rick,Phillips,Riverside Retail Group,Active,0
24b9d9d2-ccc6-f011-bbd2-0022483fad4e,WJ63TSqZOj8f0qCZlu9dzlUGbAzvA6wmUTg3xG+u1RjdVKuk66c5HwOdxrPKjcNLCB/mYBYu1ZDVhqqaJLsTqw==,21/11/2025 11:25,Robbie,Sullivan,Thornfield Construction,Active,0
3b889126-c8c6-f011-bbd2-7ced8d9956d1,169rv+iWwIUXRrBtqLr788LPefKbUrbrzCWrY8iGh1IuMvJM9HaqeG0C/fMaFh3WsWuTmIjD+OLgmOpyaf0guQ==,21/11/2025 10:52,Robert,Evans,Compass Workforce Solutions,Active,0
505a1418-cbc6-f011-bbd2-7ced8d9956d1,j1rnDa5wZNDlIbzt/UzcwOrCSNjVcCoyCYtXObhmS5xPVjRZuRPnQ5eE/qKQYOo+YaF1mq5EMpSdD1FnefpM2A==,21/11/2025 11:13,Robin,Mitchell,Futurecore Systems,Active,0
6fe69f5e-c8c6-f011-bbd2-7ced8d9956d1,8M4z+oqMzdbJNqGjXHwABiAdCqLHOYb48gc3eQQkx/Ks5jvNF+Nq31jTNcPee53Zi6lasKP9Gqzjmo6uc55Yww==,21/11/2025 10:54,Ronnie,Wainwright,Unity Communications Group,Active,0
7177d82c-c8c6-f011-bbd2-7ced8d9956d1,IUme0lbGZ3ved2qF0CcYHJdhACV0iz6lZm6/TbjhOHwGHnNVGaFlcwyooLI7cmT0KVwU3sVToVOpGJcqLcTo/g==,21/11/2025 10:52,,,Compass Workforce Solutions,Active,0
c4da498d-d7c6-f011-bbd2-7c1e5203c76f,sezhWrw578UnVm6AsBbTNZkSDtH7DsfVrshtMSBU3rOvfSxnXrircW7ECbRXtYbrvvDNUdAnmJk/k76VPxD6eQ==,21/11/2025 12:42,,,Bridgewater Ventures,Active,0
8df9af7e-d8c6-f011-bbd2-7c1e5203c76f,YvHwLB+AhHJcKKVsbeWyycs3f+jq4lrFHeQPbxaBRP6wGq3kuj4q6zdcPs8ZFZTOEQypKrfvoGbhKjLrx6QtmQ==,21/11/2025 12:49,Simon,Downes,Brightwave Marketing,Active,0
924f7737-d7c6-f011-bbd2-7c1e5203c76f,k+g2yj2SjNDI4kr1ZVKqR/ldupu+RHMSjOhSBQCEQhfka0TBzgspeCeZAuzJosvYCOFa5S50XMtkiJLlBU+xbQ==,21/11/2025 12:40,Simon,Evans,Sterling Operations Ltd,Active,0
c20b9d1d-d5c6-f011-bbd2-7c1e5203c76f,EcpLc7tyQrkvPJ8j7xFp17berwydNat5qRhg42SZ3NnQXsRSt6LlaVfonWsCJA+fJPPvWDYXuIVMOCwK80sCzA==,21/11/2025 12:25,Stephen,Browett,Westbrook Innovations,Active,0
964a9bd8-d7c6-f011-bbd2-7c1e5203c76f,YZwErIQtJw5rRUgGTo6SPpVLSG/JFpMUMlOlukigS6nPoORjhbi/2KBxyKq4s+9QNp3SsFDoKunk4kwRdU4rzw==,21/11/2025 12:44,Steve,Kirkpatrick,Ironclad Security Ltd,Active,0
86b05459-36c9-f011-8543-7ced8d3aa914,/sIdjiPuEdwOeVkHxSnEFwE9A18tYEltkl87MU88yk/+Q3+AhpoPVr8QQr7bAU1j7n+IA+kMsYFeJBn43E7MVw==,24/11/2025 13:06,Stewart,Kiddell,Stonehaven Industries,Active,0
809d4698-cbc6-f011-bbd2-7ced8d9956d1,M+/fdFDHVcOvhQ/f18BODCvdsmE6004iLRrdShA8yb6VB2U0duziH7baQMJOQJAhZ7gcjhzZ0OF9sqW7YNciFQ==,21/11/2025 11:17,Suneta,Bagri,Horizon Data Services,Active,0
4d116dd4-d5c6-f011-bbd2-7c1e5203c76f,AKmhbFPwCtV7nYMvxQfIecM94Ht8udm66mulRcmJA4JIlm1NwAUYtXpKMkee5zcnJfgO8kTUlF524OaaJtxh4g==,21/11/2025 12:30,,,Kingswell Manufacturing,Active,0
f6400412-cbc6-f011-bbd2-7ced8d9956d1,cRlZervPcajxTgxijSaZb1nMDRd3/0O8m0m454UUgBy27i6aDY2UbGbLJykQlQAsKzqaQVnnQsGRlDJAgE8JoA==,21/11/2025 11:13,,,Futurecore Systems,Active,0
6f789848-d8c6-f011-bbd2-7c1e5203c76f,8J+9TkAt2ewVqxAVzmI7ie8iUv6Z3khHyFLoNfX3/jqxJhKOb6JEjSC6J0dGROml4oK1Ly6cIfF3VkOLZ+W23A==,21/11/2025 12:48,Tom,Jackson,Cedar Grove Developments,Active,0
2ff481da-d5c6-f011-bbd2-7c1e5203c76f,L/sAgyeromqm7VEp2rzp3fvUy/RAmGwspErxM3WeAq18XHg8sLeQ/m1hGcaLhQnmTfHAhp1fqr9dfy//gitPmA==,21/11/2025 12:30,,,Kingswell Manufacturing,Active,0
0fc0ab29-dac6-f011-bbd2-7c1e5203c76f,CS4r0z2jyuNILZ6xB8VapgE+oWa7Vbj07xQv8KKlwADA7jX2x1lMs4q3hTgZYiIn4X4PCKMAWA8r1EeHGMgExw==,21/11/2025 13:01,Victoria,Baxter,Falcon Ridge Consulting,Active,0
3134741f-56c9-f011-8543-7c1e5203c76f,ZfEDIr8qrjONhFZkHYb88MznCGgsGD6dVwgAnvAXoeg3JnUFD72oSX9MuPzFImtDpBFFiOCfeXR2aJp9jVN/JA==,24/11/2025 16:53,,,Unity Communications Group,Active,0
